Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
676,KSTATESFA20140830,21,69,2,38,24,225,0,0,NA,7,NA,0,1,NA,0,0,NA,0,1,NA,0,0,NA,0,1,1,2,1,0,0,0,0,0,16,7,NA,4,0,0,NA,NA,2,1,NA,NA,0,0,3,-19,NA,1,NA,0,2,12,5,1173,8,-59,14,6,1,0,NA,1,1
96,USCFRESNO20140830,32,168,2,38,19,160,0,4,NA,5,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,2,1,0,0,0,0,0,13,6,NA,3,0,0,NA,NA,0,0,NA,NA,1,-1,1,0,NA,2,NA,0,6,8,1,1202,2,-9,15,2,3,1,NA,2,0
657,USCFRESNO20140830,62,280,3,43,30,428,4,0,NA,3,NA,0,6,NA,0,0,NA,0,4,NA,0,0,NA,0,2,1,7,7,0,0,0,0,0,52,0,NA,9,0,4,NA,NA,2,2,NA,NA,1,-1,0,0,NA,0,NA,0,18,14,2,3745,3,-8,18,9,5,3,NA,6,1
234,OKLASTFSU20140830,31,110,2,39,24,369,1,2,NA,4,NA,0,6,NA,0,0,NA,0,1,NA,1,0,NA,0,3,3,4,4,0,0,0,0,0,37,5,NA,8,0,1,NA,NA,1,0,NA,NA,1,-2,2,-20,NA,1,NA,0,5,11,5,2016,7,30,13,4,1,0,NA,1,3
521,OKLASTFSU20140830,42,205,3,28,15,186,1,1,NA,7,NA,0,5,NA,0,0,NA,0,2,NA,0,0,NA,0,2,1,4,4,0,0,0,0,0,31,6,NA,5,0,1,NA,NA,1,1,NA,NA,0,0,0,0,NA,1,NA,0,10,5,4,629,5,31,16,6,1,0,NA,2,1
796,WISCLSU20140830,39,268,3,24,8,50,0,2,NA,3,NA,0,8,NA,0,0,NA,0,0,NA,0,0,NA,0,1,1,3,3,0,0,1,1,0,24,7,NA,5,0,0,NA,NA,0,0,NA,NA,0,0,0,0,NA,1,NA,0,8,3,2,1956,5,5,16,4,1,1,NA,2,0
365,WISCLSU20140830,47,130,1,21,9,236,2,0,NA,5,NA,0,7,NA,0,0,NA,0,2,NA,0,0,NA,0,2,2,2,2,1,1,0,0,0,28,8,NA,6,0,3,NA,NA,1,1,NA,NA,2,-5,2,-14,NA,0,NA,0,7,7,1,2473,4,0,17,6,1,1,NA,0,1
650,OREGSD20140830,39,165,1,33,17,198,0,0,NA,8,NA,0,2,NA,0,0,NA,0,0,NA,0,0,NA,0,2,2,1,1,0,0,2,1,0,13,6,NA,4,0,0,NA,NA,1,1,NA,NA,1,5,3,-24,NA,1,NA,0,6,13,4,2189,6,-25,17,7,2,0,NA,1,1
529,OREGSD20140830,38,284,4,32,25,380,4,0,NA,4,NA,0,6,NA,1,0,NA,0,0,NA,0,0,NA,0,0,0,7,6,2,1,0,0,0,62,2,NA,10,0,2,NA,NA,1,1,NA,NA,3,-24,0,0,NA,1,NA,0,13,15,2,1281,6,-33,8,6,0,0,NA,5,0
756,HAWAIIWASH20140830,48,176,1,25,9,162,1,0,NA,3,NA,0,7,NA,0,0,NA,0,0,NA,0,0,NA,0,1,1,2,2,0,0,0,0,0,17,9,NA,4,0,0,NA,NA,1,0,NA,NA,5,-11,1,-16,NA,0,NA,0,11,4,2,2523,5,5,15,5,0,0,NA,1,1
277,HAWAIIWASH20140830,54,218,1,43,23,203,0,0,NA,4,NA,0,9,NA,0,0,NA,0,0,NA,0,0,NA,0,4,3,1,1,0,0,0,0,0,16,7,NA,5,0,2,NA,NA,0,0,NA,NA,1,-16,3,-10,NA,1,NA,0,13,11,4,2794,5,6,24,10,2,1,NA,1,3
51,BAYLORSMU20140831,49,232,3,46,27,323,3,1,NA,1,NA,0,8,NA,0,0,NA,0,1,NA,0,0,NA,0,4,1,6,6,0,0,0,0,0,45,3,NA,8,0,3,NA,NA,2,1,NA,NA,1,-2,0,0,NA,3,NA,0,13,14,5,2847,12,-61,20,8,2,2,NA,5,1
663,BAYLORSMU20140831,25,-26,0,40,21,95,0,1,NA,5,NA,0,3,NA,0,0,NA,0,1,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,8,NA,1,0,0,NA,NA,3,1,NA,NA,0,0,8,-67,NA,2,NA,0,2,5,1,826,1,-5,18,5,4,0,NA,0,0
