FUR,244,Furman,
Furm,244,Furman,
furman,244,Furman,
ga.southern,253,Georgia Southern,
GASO,253,Georgia Southern,
GASOUTHERN,253,Georgia Southern,
ga-southern,253,Georgia Southern,
GeoSo,253,Georgia Southern,
GSO,253,Georgia Southern,
GAST,254,Georgia State,
Georgia State,254,Georgia State,
GEORGIAST,254,Georgia State,
georgia-st,254,Georgia State,
georgiastate,254,Georgia State,
GeoSt,254,Georgia State,
GST,254,Georgia State,
GSU,254,Georgia State,
GATECH,255,Georgia Tech,
georgia-tech,255,Georgia Tech,
GT,255,Georgia Tech,
GTech,255,Georgia Tech,
Geo,257,Georgia,
georgia,257,Georgia,
UGA,257,Georgia,
GRA,261,Grambling,
GRAM,261,Grambling,
GRAM,261,Grambling,
Gramb,261,Grambling,
grambling,261,Grambling,
grambling,261,Grambling,
grambling,261,Grambling,
gramblingst,261,Grambling,
gramblingstate,261,Grambling,
HAMP,270,Hampton,
Hampt,270,Hampton,
hampton,270,Hampton,
HAW,277,Hawai'i,
Hawa,277,Hawai'i,
hawaii,277,Hawai'i,
HAWAII,277,Hawai'i,
HOU,288,Houston,
Houst,288,Houston,
houston,288,Houston,
HOW,290,Howard,
howard,290,Howard,
Howrd,290,Howard,
idaho-st,294,Idaho State,
idahostate,294,Idaho State,
IdaSt,294,Idaho State,
IDS,294,Idaho State,
IDST,294,Idaho State,
IDA,295,Idaho,
idaho,295,Idaho,
IDHO,295,Idaho,
ILL,301,Illinois,
Illin,301,Illinois,
illinois,301,Illinois,
indiana-st,305,Indiana State,
INDS,305,Indiana State,
IndSt,305,Indiana State,
INST,305,Indiana State,
IND,306,Indiana,
indiana,306,Indiana,
IU,306,Indiana,
IOWAST,311,Iowa State,
iowa-st,311,Iowa State,
IowSt,311,Iowa State,
ISU,311,Iowa State,
IOW,312,Iowa,
iowa,312,Iowa,
jacksonville-st,315,Jacksonville State,
JaxSt,315,Jacksonville State,
JVS,315,Jacksonville State,
JVST,315,Jacksonville State,
james-madison,317,James Madison,
JM,317,James Madison,
JMads,317,James Madison,
jmu,317,James Madison,
KANSASST,327,Kansas State,
kansas-st,327,Kansas State,
KanSt,327,Kansas State,
KST,327,Kansas State,
KAN,328,Kansas,
Kans,328,Kansas,
kansas,328,Kansas,
KENT,331,Kent State,
Kent State,331,Kent State,
KENTST,331,Kent State,
kent-st,331,Kent State,
KNT,331,Kent State,
KntSt,331,Kent State,
KSU,331,Kent State,
KEN,334,Kentucky,
Kent,334,Kentucky,
kentucky,334,Kentucky,
LAM,346,Lamar,
lamar,346,Lamar,
LIB,355,Liberty,
Liber,355,Liberty,
liberty,355,Liberty,
lsu,365,LSU,
LSU,365,LSU,
LaTch,366,Louisiana Tech,
latech,366,Louisiana Tech,
LATECH,366,Louisiana Tech,
louisiana-tech,366,Louisiana Tech,
LT,366,Louisiana Tech,
LOU,367,Louisville,
louisville,367,Louisville,
Lvile,367,Louisville,
MAIN,380,Maine,
maine,380,Maine,
UMAINE,380,Maine,
Marsh,388,Marshall,
marshall,388,Marshall,
MRSH,388,Marshall,
MSH,388,Marshall,
MAR,392,Maryland,
maryland,392,Maryland,
MD,392,Maryland,
massachusetts,400,Massachusetts,
UMASS,400,Massachusetts,
UMass,400,Massachusetts,
MCN,402,McNeese State,
mcneese-st,402,McNeese State,
MCNS,402,McNeese State,
McNSt,402,McNeese State,
MEM,404,Memphis,
Memph,404,Memphis,
memphis,404,Memphis,
miami (oh),414,Miami (Ohio),
MIAMIOH,414,Miami (Ohio),
miami-oh,414,Miami (Ohio),
MiaOh,414,Miami (Ohio),
MOH,414,Miami (Ohio),
M-OH,414,Miami (Ohio),
MFL,415,Miami (Florida),
MiaFl,415,Miami (Florida),
miami(fl),415,Miami (Florida),
MIAMIFL,415,Miami (Florida),
miami-fl,415,Miami (Florida),
MchSt,416,Michigan State,
MICHIGANST,416,Michigan State,
michigan-st,416,Michigan State,
MSU,416,Michigan State,
MICH,418,Michigan,
michigan,418,Michigan,
Middle Tennessee,419,Middle Tennessee,
MIDDLETENN,419,Middle Tennessee,
middle-tenn,419,Middle Tennessee,
midtennessee,419,Middle Tennessee,
MTnSt,419,Middle Tennessee,
MTS,419,Middle Tennessee,
MTU,419,Middle Tennessee,
MIN,428,Minnesota,
minnesota,428,Minnesota,
Mississippi State,430,Mississippi State,
mississippi-st,430,Mississippi State,
missst,430,Mississippi State,
MISSSTATE,430,Mississippi State,
MisSt,430,Mississippi State,
MSST,430,Mississippi State,
mississippi-val,432,Mississippi Valley State,
MVS,432,Mississippi Valley State,
MIS,433,Ole Miss,
MISS,433,Ole Miss,
Ole Miss,433,Ole Miss,
OLEMISS,433,Ole Miss,
ole-miss,433,Ole Miss,
Misso,434,Missouri,
missouri,434,Missouri,
Missouri,434,Missouri,
MIZ,434,Missouri,
MIZZ,434,Missouri,
MO,434,Missouri,
MntSt,440,Montana State,
montanastate,440,Montana State,
MTST,440,Montana State,
MONT,441,Montana,
montana,441,Montana,
MORG,446,Morgan State,
morganstate,446,Morgan State,
MURR,454,Murray State,
murraystate,454,Murray State,
MurrS,454,Murray State,
NC,457,North Carolina,
NCaro,457,North Carolina,
north-carolina,457,North Carolina,
unc,457,North Carolina,
NEB,463,Nebraska,
nebraska,463,Nebraska,
unlv,465,UNLV,
UNLV,465,UNLV,
NEV,466,Nevada,
Nevad,466,Nevada,
nevada,466,Nevada,
newhampshire,469,New Hampshire,
NHamp,469,New Hampshire,
UNH,469,New Hampshire,
new-mexico-st,472,New Mexico State,
NMS,472,New Mexico State,
NMxSt,472,New Mexico State,
NEWMEXICO,473,New Mexico,
new-mexico,473,New Mexico,
NM,473,New Mexico,
NMex,473,New Mexico,
NIC,483,Nicholls State,
NICH,483,Nicholls State,
nicholls-st,483,Nicholls State,
NicSt,483,Nicholls State,
NflkS,485,Norfolk State,
NFS,485,Norfolk State,
NORF,485,Norfolk State,
norfolk-st,485,Norfolk State,
NAT,488,North Carolina A&T,
nc-at,488,North Carolina A&T,
ncarolinacent,489,N.C. Central,
nccentral,489,N.C. Central,
NCCtl,489,N.C. Central,
NCCU,489,N.C. Central,
North Carolina Central,489,N.C. Central,
NCST,490,North Carolina State,
ncstate,490,North Carolina State,
NCSTATE,490,North Carolina State,
north-carolina-st,490,North Carolina State,
NDkSt,493,North Dakota State,
NDS,493,North Dakota State,
north-dakota-st,493,North Dakota State,
NDKTA,494,North Dakota,
northdakota,494,North Dakota,
UND,494,North Dakota,
NORTHTEXAS,497,North Texas,
north-texas,497,North Texas,
NoTex,497,North Texas,
NTX,497,North Texas,
LaMon,498,Louisiana-Monroe,
la-monroe,498,Louisiana-Monroe,
ULM,498,Louisiana-Monroe,
ulmonroe,498,Louisiana-Monroe,
ULMONROE,498,Louisiana-Monroe,
narizona,501,North Arizona,
NAU,501,Northern Arizona,
NoArz,501,Northern Arizona,
northernarizona,501,Northern Arizona,
ncolorado,502,Northern Colorado,
NoCol,502,Northern Colorado,
NOCOLORADO,502,Northern Colorado,
UNCO,502,Northern Colorado,
NIL,503,Northern Illinois,
nillinois,503,Northern Illinois,
NoIll,503,Northern Illinois,
NORTHERNIL,503,Northern Illinois,
northern-ill,503,Northern Illinois,
NIowa,504,Northern Iowa,
uni,504,Northern Iowa,
UNI,504,Northern Iowa,
northwestern-st,508,Northwestern State,
NWS,508,Northwestern State,
NWST,508,Northwestern State,
northwestern,509,Northwestern,
NORTHWSTRN,509,Northwestern,
NW,509,Northwestern,
Nwest,509,Northwestern,
ND,513,Notre Dame,
NDame,513,Notre Dame,
NOTREDAME,513,Notre Dame,
notre-dame,513,Notre Dame,
OHIOST,518,Ohio State,
ohio-st,518,Ohio State,
OSU,518,Ohio State,
OHI,519,Ohio,
ohio,519,Ohio,
Ohio,519,Ohio,
t519,519,Ohio,
oklahoma-st,521,Oklahoma State,
OKLAST,521,Oklahoma State,
OKS,521,Oklahoma State,
OKL,522,Oklahoma,
oklahoma,522,Oklahoma,
ODU,523,Old Dominion,
old-dominion,523,Old Dominion,
OREGONST,528,Oregon State,
oregon-st,528,Oregon State,
OrgSt,528,Oregon State,
ORS,528,Oregon State,
ORE,529,Oregon,
Oregn,529,Oregon,
oregon,529,Oregon,
PENN ST,539,Penn State,
Penn State,539,Penn State,
PENNST,539,Penn State,
penn-st,539,Penn State,
PnSt,539,Penn State,
PSU,539,Penn State,
PIT,545,Pittsburgh,
pitt,545,Pittsburgh,
PITT,545,Pittsburgh,
pittsburgh,545,Pittsburgh,
Pittsburgh,545,Pittsburgh,
portland-st,550,Portland State,
PRST,550,Portland State,
PrtSt,550,Portland State,
Prdue,559,Purdue,
PUR,559,Purdue,
purdue,559,Purdue,
rhodeisland,572,Rhode Island,
RIsld,572,Rhode Island,
URI,572,Rhode Island,
rice,574,Rice,
RICE,574,Rice,
RCH,575,Richmond,
Richm,575,Richmond,
richmond,575,Richmond,
