FIRST QUARTER,,ILL,WIS
,TD,12:12,"Melvin Gordon 15 Yd Run (Rafael Gaglianone Kick)Drive info: 6 plays, 80 yds in 2:48",0,7
,TD,6:43,"u""Matt LaCosse 8 Yd pass from Reilly O'Toole (David Reisner Kick)"", Drive info: 4 plays, 31 yds in 1:38",7,7
,TD,3:08,"u""Geronimo Allison 5 Yd pass from Reilly O'Toole (David Reisner Kick)"", Drive info: 5 plays, 42 yds in 1:49",14,7
SECOND QUARTER,,ILL,WIS
,TD,12:57,"Melvin Gordon 6 Yd Run (Rafael Gaglianone Kick)Drive info: 10 plays, 75 yds in 5:11",14,14
,TD,2:14,"Melvin Gordon 30 Yd Run (Rafael Gaglianone Kick)Drive info: 2 plays, 64 yds in 0:28",14,21
,FG,0:03,"Rafael Gaglianone 44 Yd Field Goal  Drive info: 5 plays, 52 yds in 1:16",14,24
THIRD QUARTER,,ILL,WIS
,TD,1:08,"Melvin Gordon 1 Yd Run (Rafael Gaglianone Kick)Drive info: 9 plays, 90 yds in 4:31",14,31
FOURTH QUARTER,,ILL,WIS
,TD,14:50,"Corey Clement 72 Yd Run (Rafael Gaglianone Kick)Drive info: 1 plays, 72 yds in 0:10",14,38
,TD,8:43,"Aaron Bailey 29 Yd Run (David Reisner Kick)Drive info: 1 plays, 29 yds in 0:08",21,38
,TD,2:53,"Donovonn Young 1 Yd Run (David Reisner Kick)Drive info: 9 plays, 83 yds in 3:02",28,38
,,ILL,WIS
1st Downs,20,22
3rd down efficiency,5-13,4-13
4th down efficiency,0-1,1-1
Total Yards,288,498
Passing,135,97
Comp-Att,14-24,10-18
Yards per pass,5.6,5.4
Rushing,153,401
Rushing Attempts,39,47
Yards per rush,3.9,8.5
Penalties,4-50,4-53
Turnovers,1,0
Fumbles lost,0,0
Interceptions thrown,1,0
Possession,27:39,32:21
Illinois Passing
,C/ATT,YDS,AVG,TD,INT,QBR
"u""Reilly O'Toole""",12/19,96,5.1,2,0,60.9
Aaron Bailey,2/5,39,7.8,0,1,54.4
Team,14/24,135,5.6,2,1,--
Wisconsin Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Joel Stave,7/14,73,5.2,0,0,77.0
Tanner McEvoy,3/4,24,6.0,0,0,86.3
Team,10/18,97,5.4,0,0,--
Illinois Rushing
,CAR,YDS,AVG,TD,LG
Aaron Bailey,12,75,6.3,1,29
Josh Ferguson,11,33,3.0,0,19
"u""Reilly O'Toole""",11,29,2.6,0,18
Devin Church,2,10,5.0,0,7
Donovonn Young,3,6,2.0,1,5
Team,39,153,3.9,2,29
Wisconsin Rushing
,CAR,YDS,AVG,TD,LG
Melvin Gordon,27,175,6.5,4,46
Corey Clement,13,164,12.6,1,72
Kenzel Doe,1,34,34.0,0,34
Natrell Jamerson,1,23,23.0,0,23
Tanner McEvoy,1,12,12.0,0,12
Alex Erickson,1,-3,-3.0,0,0
Team,47,401,8.5,5,72
Illinois Receiving
,REC,YDS,AVG,TD,LG
Mike Dudek,4,59,14.8,0,26
Josh Ferguson,3,30,10.0,0,14
Matt LaCosse,2,23,11.5,1,15
Geronimo Allison,4,20,5.0,1,9
Martize Barr,1,3,3.0,0,3
Team,14,135,9.6,2,26
Wisconsin Receiving
,REC,YDS,AVG,TD,LG
Sam Arneson,4,48,12.0,0,22
Alex Erickson,2,18,9.0,0,10
Kenzel Doe,1,16,16.0,0,16
Troy Fumagalli,1,12,12.0,0,12
Jordan Fredrick,1,3,3.0,0,3
Melvin Gordon,1,0,0.0,0,0
Team,10,97,9.7,0,22
Illinois Interceptions
,INT,YDS,TD
No Interception Information
Wisconsin Interceptions
,INT,YDS,TD
Peniel Jean,1,0,0
Team,1,0,0
Illinois Kick Returns
,NO,YDS,AVG,LG,TD
"u""V'Angelo Bentley""",5,131,26.2,35,0
Darius Mosely,1,4,4.0,4,0
Team,6,135,22.5,35,0
Wisconsin Kick Returns
,NO,YDS,AVG,LG,TD
Kenzel Doe,2,39,19.5,20,0
Team,2,39,19.5,20,0
Illinois Punt Returns
,NO,YDS,AVG,LG,TD
"u""V'Angelo Bentley""",2,39,19.5,30,0
Darius Mosely,1,11,11.0,11,0
Team,3,50,16.7,30,0
Wisconsin Punt Returns
,NO,YDS,AVG,LG,TD
Kenzel Doe,2,29,14.5,15,0
Team,2,29,14.5,15,0
Illinois Kicking
,FG,PCT,LG,XP,PTS
David Reisner,0/0,0.0,0,4/4,4
Team,0/0,0.0,0,4/4,4
Wisconsin Kicking
,FG,PCT,LG,XP,PTS
Rafael Gaglianone,1/2,50.0,44,5/5,8
Team,1/2,50.0,44,5/5,8
Illinois Punting
,NO,YDS,AVG,TB,-20,LG
Justin DuVernois,7,334,47.7,0,3,72
Team,7,334,47.7,0,3,72
Wisconsin Punting
,NO,YDS,AVG,TB,-20,LG
Drew Meyer,5,192,38.4,0,2,46
Team,5,192,38.4,0,2,46
