FIRST QUARTER,,WIS,NW
,FG,4:27,"Jack Mitchell 22 Yd Field Goal  Drive info: 13 plays, 74 yds in 4:52",0,3
SECOND QUARTER,,WIS,NW
,TD,3:38,"Dan Vitale 5 Yd pass from Trevor Siemian (Jack Mitchell Kick)Drive info: 15 plays, 80 yds in 6:44",0,10
THIRD QUARTER,,WIS,NW
,TD,10:44,"Melvin Gordon 2 Yd Run (Rafael Gaglianone Kick)Drive info: 7 plays, 76 yds in 4:16",7,10
,TD,6:58,"Miles Shuler 16 Yd Run (Jack Mitchell Kick)Drive info: 1 plays, 16 yds in 0:07",7,17
FOURTH QUARTER,,WIS,NW
,FG,14:14,"Jack Mitchell 22 Yd Field Goal  Drive info: 11 plays, 63 yds in 3:39",7,20
,TD,4:16,"Kenzel Doe 19 Yd pass from Joel Stave (Rafael Gaglianone Kick)Drive info: 2 plays, 43 yds in 0:22",14,20
,,WIS,NW
1st Downs,19,22
3rd down efficiency,4-12,5-16
4th down efficiency,1-1,2-2
Total Yards,422,385
Passing,138,182
Comp-Att,12-29,15-29
Yards per pass,4.8,6.3
Rushing,284,203
Rushing Attempts,37,46
Yards per rush,7.7,4.4
Penalties,6-49,4-20
Turnovers,4,0
Fumbles lost,0,0
Interceptions thrown,4,0
Possession,29:27,30:33
Wisconsin Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Joel Stave,8/19,114,6.0,1,3,10.8
Tanner McEvoy,4/10,24,2.4,0,1,9.7
Team,12/29,138,4.8,1,4,--
Northwestern Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Trevor Siemian,15/29,182,6.3,1,0,55.3
Team,15/29,182,6.3,1,0,--
Wisconsin Rushing
,CAR,YDS,AVG,TD,LG
Melvin Gordon,27,259,9.6,1,61
Corey Clement,6,22,3.7,0,13
Tanner McEvoy,1,8,8.0,0,8
Kenzel Doe,2,1,0.5,0,1
Joel Stave,1,-6,-6.0,0,0
Team,37,284,7.7,1,61
Northwestern Rushing
,CAR,YDS,AVG,TD,LG
Justin Jackson,33,162,4.9,0,18
Treyvon Green,3,21,7.0,0,14
Miles Shuler,1,16,16.0,1,16
Warren Long,3,5,1.7,0,2
Trevor Siemian,5,1,0.2,0,7
Team,46,203,4.4,1,18
Wisconsin Receiving
,REC,YDS,AVG,TD,LG
Alex Erickson,4,45,11.3,0,13
Kenzel Doe,4,34,8.5,1,19
Sam Arneson,1,24,24.0,0,24
Corey Clement,1,15,15.0,0,15
Troy Fumagalli,1,11,11.0,0,11
Austin Ramesh,1,9,9.0,0,9
Team,12,138,11.5,1,24
Northwestern Receiving
,REC,YDS,AVG,TD,LG
Kyle Prater,5,55,11.0,0,20
Tony Jones,1,35,35.0,0,35
Dan Vitale,2,21,10.5,1,16
Austin Carr,1,18,18.0,0,18
Jayme Taylor,1,18,18.0,0,18
Mike McHugh,1,15,15.0,0,15
Miles Shuler,2,11,5.5,0,7
Warren Long,2,9,4.5,0,5
Team,15,182,12.1,1,35
Wisconsin Interceptions
,INT,YDS,TD
No Interception Information
Northwestern Interceptions
,INT,YDS,TD
Godwin Igwebuike,3,11,0
Jimmy Hall,1,0,0
Team,4,11,0
Wisconsin Kick Returns
,NO,YDS,AVG,LG,TD
Kenzel Doe,4,81,20.3,24,0
Team,4,81,20.3,24,0
Northwestern Kick Returns
,NO,YDS,AVG,LG,TD
Miles Shuler,3,46,15.3,21,0
Team,3,46,15.3,21,0
Wisconsin Punt Returns
,NO,YDS,AVG,LG,TD
Kenzel Doe,2,21,10.5,19,0
Team,2,21,10.5,19,0
Northwestern Punt Returns
,NO,YDS,AVG,LG,TD
No Punt Returns
Wisconsin Kicking
,FG,PCT,LG,XP,PTS
Rafael Gaglianone,0/1,0.0,0,2/2,2
Team,0/1,0.0,0,2/2,2
Northwestern Kicking
,FG,PCT,LG,XP,PTS
Jack Mitchell,2/2,100.0,22,2/2,8
Team,2/2,100.0,22,2/2,8
Wisconsin Punting
,NO,YDS,AVG,TB,-20,LG
Drew Meyer,4,158,39.5,1,1,52
Team,4,158,39.5,1,1,52
Northwestern Punting
,NO,YDS,AVG,TB,-20,LG
Chris Gradone,7,251,35.9,1,4,41
Team,7,251,35.9,1,4,41
