FIRST QUARTER,,HAW,FRES
,TD,13:27,"Marteze Waller 11 Yd Run (Kody Kroening Kick)Drive info: 2 plays, 43 yds in 0:25",0,7
,TD,7:44,"Justin Johnson 6 Yd pass from Brian Burrell (Kody Kroening Kick)Drive info: 12 plays, 65 yds in 3:53",0,14
,TD,2:35,"Josh Quezada 4 Yd Run (Kody Kroening Kick)Drive info: 9 plays, 66 yds in 3:07",0,21
SECOND QUARTER,,HAW,FRES
,TD,0:47,"Marteze Waller 4 Yd Run (Kody Kroening Kick)Drive info: 15 plays, 96 yds in 5:09",0,28
FOURTH QUARTER,,HAW,FRES
,TD,12:50,"Harold Moleni 4 Yd pass from Ikaika Woolsey (Tyler Hadden Kick)Drive info: 9 plays, 30 yds in 4:15",7,28
,TD,8:11,"Donnie King Jr. 5 Yd pass from Ikaika Woolsey (Tyler Hadden Kick)Drive info: 10 plays, 58 yds in 4:03",14,28
,TD,0:45,"Quinton Pedroza 2 Yd pass from Ikaika Woolsey (Tyler Hadden Kick)Drive info: 18 plays, 80 yds in 2:48",21,28
,,HAW,FRES
1st Downs,22,23
3rd down efficiency,4-19,9-16
4th down efficiency,6-6,1-1
Total Yards,353,333
Passing,247,162
Comp-Att,22-39,19-32
Yards per pass,6.3,5.1
Rushing,106,171
Rushing Attempts,46,37
Yards per rush,2.3,4.6
Penalties,10-76,9-69
Turnovers,2,2
Fumbles lost,0,0
Interceptions thrown,2,2
Possession,33:57,25:33
Hawaii Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Ikaika Woolsey,22/39,247,6.3,3,2,27.4
Team,22/39,247,6.3,3,2,--
Fresno State Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Brian Burrell,19/32,162,5.1,1,2,56.6
Team,19/32,162,5.1,1,2,--
Hawaii Rushing
,CAR,YDS,AVG,TD,LG
Joey Iosefa,22,69,3.1,0,15
Ikaika Woolsey,17,15,0.9,0,13
Diocemy Saint Juste,4,11,2.8,0,4
Pereese Joas,1,9,9.0,0,9
Keelan Ewaliko,2,2,1.0,0,4
Team,46,106,2.3,0,15
Fresno State Rushing
,CAR,YDS,AVG,TD,LG
Marteze Waller,25,137,5.5,2,28
Josh Quezada,8,33,4.1,1,9
Brian Burrell,3,6,2.0,0,23
Team,37,171,4.6,3,28
Hawaii Receiving
,REC,YDS,AVG,TD,LG
Marcus Kemp,7,117,16.7,0,40
Quinton Pedroza,5,50,10.0,1,22
Donnie King Jr.,3,43,14.3,1,22
Ammon Barker,1,14,14.0,0,14
Joey Iosefa,1,8,8.0,0,8
"u""Jordan Pu-Robinson""",1,6,6.0,0,6
Justin Vele,2,4,2.0,0,6
Harold Moleni,1,4,4.0,1,4
Leo Koloamatangi,1,1,1.0,0,1
Team,22,247,11.2,3,40
Fresno State Receiving
,REC,YDS,AVG,TD,LG
Josh Harper,8,83,10.4,0,21
Aaron Peck,3,30,10.0,0,19
Chad Olsen,2,17,8.5,0,9
Justin Johnson,2,16,8.0,1,10
Greg Watson,2,11,5.5,0,12
Marteze Waller,2,5,2.5,0,4
Team,19,162,8.5,1,21
Hawaii Interceptions
,INT,YDS,TD
Simon Poti,1,7,0
Jalen Rogers,1,-4,0
Team,2,3,0
Fresno State Interceptions
,INT,YDS,TD
Derron Smith,1,21,0
Karl Mickelsen,1,0,0
Team,2,21,0
Hawaii Kick Returns
,NO,YDS,AVG,LG,TD
Keelan Ewaliko,2,54,27.0,28,0
Gaetano DeMattei,1,8,8.0,8,0
Team,3,62,20.7,28,0
Fresno State Kick Returns
,NO,YDS,AVG,LG,TD
"u""Da'Mari Scott""",2,56,28.0,37,0
Team,2,56,28.0,37,0
Hawaii Punt Returns
,NO,YDS,AVG,LG,TD
No Punt Returns
Fresno State Punt Returns
,NO,YDS,AVG,LG,TD
Derron Smith,1,-1,-1.0,-1,0
Team,1,-1,-1.0,0,0
Hawaii Kicking
,FG,PCT,LG,XP,PTS
Tyler Hadden,0/1,0.0,0,3/3,3
Team,0/1,0.0,0,3/3,3
Fresno State Kicking
,FG,PCT,LG,XP,PTS
Kody Kroening,0/0,0.0,0,4/4,4
Team,0/0,0.0,0,4/4,4
Hawaii Punting
,NO,YDS,AVG,TB,-20,LG
Scott Harding,5,195,39.0,1,2,43
Team,5,195,39.0,1,2,43
Fresno State Punting
,NO,YDS,AVG,TB,-20,LG
Garrett Swanson,4,169,42.3,1,0,52
Brian Burrell,1,26,26.0,0,1,26
Team,5,195,39.0,1,1,52
