FIRST QUARTER,,ULM,TAMU
,TD,10:44,"Brandon Williams 1 Yd Run (Josh Lambo Kick)Drive info: 13 plays, 75 yds in 4:16",0,7
SECOND QUARTER,,ULM,TAMU
,TD,13:56,"Centarius Donald 1 Yd Run (Justin Manton Kick)Drive info: 8 plays, 90 yds in 3:35",7,7
,TD,5:05,"Tra Carson 5 Yd Run (Josh Lambo Kick)Drive info: 3 plays, 12 yds in 0:51",7,14
,TD,1:05,"Speedy Noil 39 Yd pass from Kyle Allen (Josh Lambo Kick)Drive info: 8 plays, 58 yds in 2:33",7,21
,FG,0:01,"Justin Manton 51 Yd Field Goal  Drive info: 6 plays, 29 yds in 1:05",10,21
FOURTH QUARTER,,ULM,TAMU
,FG,14:58,"Justin Manton 23 Yd Field Goal  Drive info: 17 plays, 76 yds in 6:23",13,21
,FG,10:26,"Justin Manton 22 Yd Field Goal  Drive info: 11 plays, 33 yds in 4:17",16,21
,,ULM,TAMU
1st Downs,19,16
3rd down efficiency,7-19,7-17
4th down efficiency,2-3,2-2
Total Yards,347,243
Passing,269,106
Comp-Att,28-49,13-28
Yards per pass,5.5,3.8
Rushing,78,137
Rushing Attempts,30,41
Yards per rush,2.6,3.3
Penalties,4-20,2-26
Turnovers,1,2
Fumbles lost,0,1
Interceptions thrown,1,1
Possession,33:47,26:13
Louisiana Monroe Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Pete Thomas,26/47,246,5.2,0,1,35.2
Brayle Brown,1/1,15,15.0,0,0,96.9
Kenzee Jackson,1/1,8,8.0,0,0,98.1
Team,28/49,269,5.5,0,1,--
Texas A&M Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Kyle Allen,13/28,106,3.8,1,1,29.6
Team,13/28,106,3.8,1,1,--
Louisiana Monroe Rushing
,CAR,YDS,AVG,TD,LG
Pete Thomas,19,44,2.3,0,13
Centarius Donald,9,33,3.7,1,12
Tyler Cain,2,1,0.5,0,5
Team,30,78,2.6,1,13
Texas A&M Rushing
,CAR,YDS,AVG,TD,LG
Brandon Williams,19,71,3.7,1,9
Tra Carson,13,47,3.6,1,11
Kyle Allen,6,12,2.0,0,14
James White,1,11,11.0,0,11
Team,41,137,3.3,2,14
Louisiana Monroe Receiving
,REC,YDS,AVG,TD,LG
Rashon Ceaser,5,99,19.8,0,29
Kenzee Jackson,8,87,10.9,0,17
Ajalen Holley,7,42,6.0,0,9
Centarius Donald,1,13,13.0,0,13
Harley Scioneaux,1,9,9.0,0,9
Pete Thomas,1,8,8.0,0,8
Brayle Brown,1,6,6.0,0,6
Tyler Cain,3,5,1.7,0,4
"u""De'Vonte Haggerty""",1,0,0.0,0,0
Team,28,269,9.6,0,29
Texas A&M Receiving
,REC,YDS,AVG,TD,LG
Speedy Noil,5,69,13.8,1,39
Edward Pope,2,15,7.5,0,9
Josh Reynolds,2,15,7.5,0,13
Malcome Kennedy,1,4,4.0,0,4
James White,1,2,2.0,0,2
Jeremy Tabuyo,1,1,1.0,0,1
Brandon Williams,1,0,0.0,0,0
Team,13,106,8.2,1,39
Louisiana Monroe Interceptions
,INT,YDS,TD
Bryce Ray,1,0,0
Team,1,0,0
Texas A&M Interceptions
,INT,YDS,TD
Armani Watts,1,0,0
Team,1,0,0
Louisiana Monroe Kick Returns
,NO,YDS,AVG,LG,TD
Tyler Cain,2,20,10.0,13,0
Team,2,20,10.0,13,0
Texas A&M Kick Returns
,NO,YDS,AVG,LG,TD
LaQuvionte Gonzalez,2,46,23.0,24,0
Cameron Clear,1,13,13.0,13,0
Brandon Alexander,1,3,3.0,3,0
Team,4,62,15.5,24,0
Louisiana Monroe Punt Returns
,NO,YDS,AVG,LG,TD
Rashon Ceaser,1,8,8.0,8,0
Team,1,8,8.0,8,0
Texas A&M Punt Returns
,NO,YDS,AVG,LG,TD
Speedy Noil,4,61,15.3,39,0
Team,4,61,15.3,39,0
Louisiana Monroe Kicking
,FG,PCT,LG,XP,PTS
Justin Manton,3/3,100.0,51,1/1,10
Team,3/3,100.0,51,1/1,10
Texas A&M Kicking
,FG,PCT,LG,XP,PTS
Josh Lambo,0/0,0.0,0,3/3,3
Team,0/0,0.0,0,3/3,3
Louisiana Monroe Punting
,NO,YDS,AVG,TB,-20,LG
Justin Manton,7,240,34.3,0,1,46
Team,7,240,34.3,0,1,46
Texas A&M Punting
,NO,YDS,AVG,TB,-20,LG
Drew Kaser,7,297,42.4,0,4,55
Team,7,297,42.4,0,4,55
