FIRST QUARTER,,BYU,CAL
,TD,12:18,"Paul Lasike 1 Yd Run (Trevor Samson Kick)Drive info: 10 plays, 73 yds in 2:42",7,0
,TD,7:37,"Kenny Lawler 9 Yd pass from Jared Goff (James Langford Kick)Drive info: 13 plays, 84 yds in 4:39",7,7
,TD,1:04,"Mitchell Juergens 47 Yd pass from Christian Stewart (Trevor Samson Kick)Drive info: 7 plays, 74 yds in 1:48",14,7
SECOND QUARTER,,BYU,CAL
,TD,13:44,"Kenny Lawler 16 Yd pass from Jared Goff (James Langford Kick)Drive info: 7 plays, 67 yds in 2:14",14,14
,TD,7:29,"Kenny Lawler 1 Yd pass from Jared Goff (James Langford Kick)Drive info: 9 plays, 68 yds in 3:27",14,21
THIRD QUARTER,,BYU,CAL
,TD,9:12,"Algernon Brown 22 Yd pass from Christian Stewart (Trevor Samson Kick)Drive info: 8 plays, 85 yds in 2:28",21,21
,TD,4:12,"Tre Watson 9 Yd Run (James Langford Kick)Drive info: 8 plays, 67 yds in 3:07",21,28
,TD,1:08,"Mitchell Juergens 9 Yd pass from Christian Stewart (Trevor Samson Kick)Drive info: 10 plays, 81 yds in 2:56",28,28
FOURTH QUARTER,,BYU,CAL
,TD,11:49,"Jordan Leslie 83 Yd pass from Christian Stewart (Trevor Samson Kick)Drive info: 5 plays, 99 yds in 1:44",35,28
,TD,9:17,"Trevor Davis 23 Yd pass from Jared Goff (James Langford Kick)Drive info: 7 plays, 80 yds in 2:31",35,35
,TD,2:39,"Jordan Leslie 38 Yd pass from Christian Stewart (Trevor Samson Kick)Drive info: 5 plays, 66 yds in 1:48",42,35
,,BYU,CAL
1st Downs,26,34
3rd down efficiency,7-14,12-21
4th down efficiency,3-3,2-3
Total Yards,540,566
Passing,433,393
Comp-Att,23-38,38-60
Yards per pass,11.4,6.6
Rushing,107,173
Rushing Attempts,39,41
Yards per rush,2.7,4.2
Penalties,9-90,7-78
Turnovers,2,1
Fumbles lost,1,0
Interceptions thrown,1,1
Possession,24:43,34:39
BYU Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Christian Stewart,23/38,433,11.4,5,1,63.0
Team,23/38,433,11.4,5,1,--
California Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Jared Goff,38/60,393,6.6,4,1,78.0
Team,38/60,393,6.6,4,1,--
BYU Rushing
,CAR,YDS,AVG,TD,LG
Paul Lasike,12,63,5.3,1,30
Algernon Brown,11,38,3.5,0,9
Adam Hine,3,20,6.7,0,10
Christian Stewart,11,-12,-1.1,0,7
Team,39,107,2.7,1,30
California Rushing
,CAR,YDS,AVG,TD,LG
Daniel Lasco,26,130,5.0,0,16
Jared Goff,7,23,3.3,0,10
Tre Watson,5,18,3.6,1,9
Vic Enwere,2,3,1.5,0,2
Luke Rubenzer,1,-1,-1.0,0,0
Team,41,173,4.2,1,16
BYU Receiving
,REC,YDS,AVG,TD,LG
Jordan Leslie,5,155,31.0,2,83
Mitchell Juergens,7,107,15.3,2,47
Devon Blackmon,6,60,10.0,0,15
Mitch Mathews,1,39,39.0,0,39
Algernon Brown,2,31,15.5,1,22
Paul Lasike,1,28,28.0,0,28
Terenn Houk,1,13,13.0,0,13
Team,23,433,18.8,5,83
California Receiving
,REC,YDS,AVG,TD,LG
Kenny Lawler,12,138,11.5,3,26
Chris Harper,8,98,12.3,0,41
Bryce Treggs,6,51,8.5,0,11
Stephen Anderson,2,30,15.0,0,22
Maurice Harris,3,28,9.3,0,10
Trevor Davis,2,22,11.0,1,23
Daniel Lasco,3,13,4.3,0,14
Matt Rockett,2,13,6.5,0,7
Team,38,393,10.3,4,41
BYU Interceptions
,INT,YDS,TD
Skye PoVey,1,27,0
Team,1,27,0
California Interceptions
,INT,YDS,TD
Caleb Coleman,1,4,0
Team,1,4,0
BYU Kick Returns
,NO,YDS,AVG,LG,TD
Adam Hine,4,94,23.5,27,0
Team,4,94,23.5,27,0
California Kick Returns
,NO,YDS,AVG,LG,TD
Trevor Davis,3,55,18.3,29,0
Devante Downs,2,8,4.0,6,0
Team,5,63,12.6,29,0
BYU Punt Returns
,NO,YDS,AVG,LG,TD
No Punt Returns
California Punt Returns
,NO,YDS,AVG,LG,TD
Chris Harper,1,3,3.0,3,0
Team,1,3,3.0,3,0
BYU Kicking
,FG,PCT,LG,XP,PTS
Trevor Samson,0/0,0.0,0,6/6,6
Team,0/0,0.0,0,6/6,6
California Kicking
,FG,PCT,LG,XP,PTS
James Langford,0/1,0.0,0,5/5,5
Team,0/1,0.0,0,5/5,5
BYU Punting
,NO,YDS,AVG,TB,-20,LG
Scott Arellano,4,189,47.3,0,3,53
Team,4,189,47.3,0,3,53
California Punting
,NO,YDS,AVG,TB,-20,LG
Cole Leininger,4,130,32.5,0,1,34
Luke Rubenzer,1,39,39.0,0,1,39
Team,5,169,33.8,0,2,39
