FIRST QUARTER,,APP,GASO
,TD,12:46,"Matt Breida 56 Yd Run (Alex Hanks Kick)Drive info: 5 plays, 74 yds in 2:14",0,7
,FG,6:41,"Alex Hanks 19 Yd Field Goal  Drive info: 9 plays, 37 yds in 4:26",0,10
SECOND QUARTER,,APP,GASO
,TD,12:28,"Alfred Ramsby 1 Yd Run (Alex Hanks Kick)Drive info: 5 plays, 28 yds in 1:51",0,17
,TD,7:42,"Taylor Lamb 19 Yd Run (Zach Matics Kick)Drive info: 12 plays, 75 yds in 4:46",7,17
,TD,2:17,"BJ Johnson 17 Yd pass from Kevin Ellison (Alex Hanks Kick)Drive info: 4 plays, 49 yds in 1:45",7,24
,TD,0:16,"Marcus Cox 1 Yd Run (Zach Matics Kick)Drive info: 8 plays, 74 yds in 2:01",14,24
FOURTH QUARTER,,APP,GASO
,FG,14:56,"Alex Hanks 35 Yd Field Goal  Drive info: 16 plays, 82 yds in 8:58",14,27
,TD,10:26,"Kevin Ellison 6 Yd Run (Alex Hanks Kick)Drive info: 7 plays, 79 yds in 2:48",14,34
,,APP,GASO
1st Downs,20,22
3rd down efficiency,4-13,6-14
4th down efficiency,1-3,2-2
Total Yards,330,496
Passing,256,88
Comp-Att,23-42,8-12
Yards per pass,6.1,7.3
Rushing,74,408
Rushing Attempts,22,60
Yards per rush,3.4,6.8
Penalties,7-55,7-75
Turnovers,2,1
Fumbles lost,0,0
Interceptions thrown,2,1
Possession,21:52,38:08
Appalachian State Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Taylor Lamb,23/42,256,6.1,0,2,40.3
Team,23/42,256,6.1,0,2,--
Georgia Southern Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Kevin Ellison,6/10,73,7.3,1,1,86.8
Favian Upshaw,2/2,15,7.5,0,0,98.7
Team,8/12,88,7.3,1,1,--
Appalachian State Rushing
,CAR,YDS,AVG,TD,LG
Marcus Cox,10,39,3.9,1,12
Taylor Lamb,8,29,3.6,1,19
Terrence Upshaw,4,6,1.5,0,6
Team,22,74,3.4,2,19
Georgia Southern Rushing
,CAR,YDS,AVG,TD,LG
Kevin Ellison,21,151,7.2,1,25
Matt Breida,12,135,11.3,1,56
Alfred Ramsby,16,51,3.2,1,17
Ean Days,3,42,14.0,0,29
Favian Upshaw,4,24,6.0,0,16
Devin Scott,3,6,2.0,0,2
Zach Walker,1,-1,-1.0,0,0
Team,60,408,6.8,3,56
Appalachian State Receiving
,REC,YDS,AVG,TD,LG
Simms McElfresh,7,64,9.1,0,25
Malachi Jones,4,59,14.8,0,27
Montez McGuire,4,49,12.3,0,18
Tacoi Sumler,3,25,8.3,0,16
Marcus Cox,3,24,8.0,0,18
Barrett Burns,1,19,19.0,0,19
Bobo Beathard,1,16,16.0,0,16
Team,23,256,11.1,0,27
Georgia Southern Receiving
,REC,YDS,AVG,TD,LG
BJ Johnson,4,42,10.5,1,17
Zach Walker,3,37,12.3,0,20
Derek Keaton,1,9,9.0,0,9
Team,8,88,11.0,1,20
Appalachian State Interceptions
,INT,YDS,TD
Doug Middleton,1,0,0
Team,1,0,0
Georgia Southern Interceptions
,INT,YDS,TD
Deion Stanley,1,1,0
Nick Wright,1,0,0
Team,2,1,0
Appalachian State Kick Returns
,NO,YDS,AVG,LG,TD
Isaiah Lewis,2,27,13.5,16,0
Team,2,27,13.5,16,0
Georgia Southern Kick Returns
,NO,YDS,AVG,LG,TD
Montay Crockett,1,33,33.0,33,0
Derek Keaton,1,23,23.0,23,0
Ean Days,1,14,14.0,14,0
Team,3,70,23.3,33,0
Appalachian State Punt Returns
,NO,YDS,AVG,LG,TD
No Punt Returns
Georgia Southern Punt Returns
,NO,YDS,AVG,LG,TD
Tray Butler,1,16,16.0,16,0
Team,1,16,16.0,16,0
Appalachian State Kicking
,FG,PCT,LG,XP,PTS
Zach Matics,0/0,0.0,0,2/2,2
Team,0/0,0.0,0,2/2,2
Georgia Southern Kicking
,FG,PCT,LG,XP,PTS
Alex Hanks,2/2,100.0,35,4/4,10
Team,2/2,100.0,35,4/4,10
Appalachian State Punting
,NO,YDS,AVG,TB,-20,LG
Bentlee Critcher,4,175,43.8,0,1,49
Team,4,175,43.8,0,1,49
Georgia Southern Punting
,NO,YDS,AVG,TB,-20,LG
Ryan Nowicki,2,80,40.0,0,2,47
Team,2,80,40.0,0,2,47
