FIRST QUARTER,,USF,MEM
,FG,7:32,"Marvin Kloss 21 Yd Field Goal  Drive info: 11 plays, 70 yds in 5:29",3,0
,TD,4:29,"Paxton Lynch 1 Yd Run (Jake Elliott Kick)Drive info: 9 plays, 75 yds in 3:03",3,7
,TD,0:00,"Paxton Lynch 5 Yd Run (Jake Elliott Kick)Drive info: 8 plays, 56 yds in 2:41",3,14
SECOND QUARTER,,USF,MEM
,TD,14:49,"Marlon Mack 75 Yd Run (Marvin Kloss Kick)Drive info: 1 plays, 75 yds in 0:11",10,14
,TD,13:25,"Mose Frazier 42 Yd pass from Paxton Lynch (Jake Elliott Kick)Drive info: 5 plays, 75 yds in 1:24",10,21
,FG,1:17,"Marvin Kloss 35 Yd Field Goal  Drive info: 17 plays, 76 yds in 7:57",13,21
THIRD QUARTER,,USF,MEM
,TD,7:37,"Brandon Hayes 11 Yd pass from Paxton Lynch (Jake Elliott Kick)Drive info: 2 plays, 27 yds in 0:28",13,28
FOURTH QUARTER,,USF,MEM
,FG,14:22,"Jake Elliott 35 Yd Field Goal  Drive info: 8 plays, 67 yds in 2:38",13,31
,TD,1:14,"Andre Davis 9 Yd pass from Steven Bench (Marvin Kloss Kick)Drive info: 15 plays, 62 yds in 3:52",20,31
,,USF,MEM
1st Downs,20,19
3rd down efficiency,9-21,5-12
4th down efficiency,3-3,0-0
Total Yards,396,470
Passing,301,232
Comp-Att,27-46,18-23
Yards per pass,6.5,10.1
Rushing,95,238
Rushing Attempts,35,39
Yards per rush,2.7,6.1
Penalties,2-29,6-58
Turnovers,1,0
Fumbles lost,1,0
Interceptions thrown,0,0
Possession,36:41,23:06
South Florida Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Mike White,21/35,244,7.0,0,0,57.5
Steven Bench,6/11,57,5.2,1,0,90.9
Team,27/46,301,6.5,1,0,--
Memphis Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Paxton Lynch,18/23,232,10.1,2,0,97.1
Team,18/23,232,10.1,2,0,--
South Florida Rushing
,CAR,YDS,AVG,TD,LG
Marlon Mack,16,102,6.4,1,75
Darius Tice,7,8,1.1,0,4
"u""D'Ernest Johnson""",1,3,3.0,0,3
Kennard Swanson,1,1,1.0,0,1
Deonte Welch,1,-3,-3.0,0,0
Quinton Flowers,3,-3,-1.0,0,4
Mike White,5,-12,-2.4,0,3
Team,35,95,2.7,1,75
Memphis Rushing
,CAR,YDS,AVG,TD,LG
Brandon Hayes,21,189,9.0,0,47
Paxton Lynch,8,44,5.5,2,24
Jarvis Cooper,5,18,3.6,0,9
Mose Frazier,1,7,7.0,0,7
Roderick Proctor,2,-17,-8.5,0,0
Team,39,238,6.1,2,47
South Florida Receiving
,REC,YDS,AVG,TD,LG
Mike McFarland,4,64,16.0,0,31
Andre Davis,4,62,15.5,1,30
Marlon Mack,8,57,7.1,0,14
Kennard Swanson,1,25,25.0,0,25
Sean Price,1,24,24.0,0,24
Deonte Welch,3,23,7.7,0,9
Darius Tice,3,18,6.0,0,7
"u""D'Ernest Johnson""",1,13,13.0,0,13
Tye Turner,1,10,10.0,0,10
Ryeshene Bronson,1,5,5.0,0,5
Team,27,301,11.1,1,31
Memphis Receiving
,REC,YDS,AVG,TD,LG
Mose Frazier,3,82,27.3,1,42
Adrian Henderson,2,38,19.0,0,24
Keiwone Malone,3,31,10.3,0,18
Roderick Proctor,3,22,7.3,0,9
Alan Cross,2,21,10.5,0,18
Brandon Hayes,3,18,6.0,1,11
Phil Mayhue,1,16,16.0,0,16
Tevin Jones,1,4,4.0,0,4
Team,18,232,12.9,2,42
South Florida Interceptions
,INT,YDS,TD
No Interception Information
Memphis Interceptions
,INT,YDS,TD
No Interception Information
South Florida Kick Returns
,NO,YDS,AVG,LG,TD
Christopher Dunkley,1,19,19.0,19,0
Team,1,19,19.0,19,0
Memphis Kick Returns
,NO,YDS,AVG,LG,TD
Joe Craig,1,35,35.0,35,0
Team,1,35,35.0,35,0
South Florida Punt Returns
,NO,YDS,AVG,LG,TD
Christopher Dunkley,1,6,6.0,6,0
Team,1,6,6.0,6,0
Memphis Punt Returns
,NO,YDS,AVG,LG,TD
Keiwone Malone,4,44,11.0,24,0
Team,4,44,11.0,24,0
South Florida Kicking
,FG,PCT,LG,XP,PTS
Marvin Kloss,2/2,100.0,35,2/2,8
Team,2/2,100.0,35,2/2,8
Memphis Kicking
,FG,PCT,LG,XP,PTS
Jake Elliott,1/3,33.3,35,4/4,7
Team,1/3,33.3,35,4/4,7
South Florida Punting
,NO,YDS,AVG,TB,-20,LG
Mattias Ciabatti,6,239,39.8,0,2,51
Team,6,239,39.8,0,2,51
Memphis Punting
,NO,YDS,AVG,TB,-20,LG
Nick Jacobs,3,109,36.3,0,3,42
Spencer Smith,1,48,48.0,0,0,48
Team,4,157,39.3,0,3,48
