FIRST QUARTER,,SFA,KSU
,TD,7:09,"Tyler Lockett 9 Yd pass from Jake Waters (Jack Cantele Kick)Drive info: 11 plays, 69 yds in 5:27",0,7
SECOND QUARTER,,SFA,KSU
,TD,14:51,"Jake Waters 5 Yd Run (Jack Cantele Kick)Drive info: 12 plays, 60 yds in 6:40",0,14
,TD,11:13,"Charles Jones 15 Yd Run (Jack Cantele Kick)Drive info: 7 plays, 60 yds in 2:24",0,21
,TD,6:57,"Joe Minden 18 Yd Run (Jordan Wiggs Kick)Drive info: 8 plays, 77 yds in 4:16",7,21
,TD,3:04,"Jake Waters 1 Yd Run (Jack Cantele Kick)Drive info: 7 plays, 50 yds in 3:53",7,28
,FG,0:53,"Jordan Wiggs 33 Yd Field Goal  Drive info: 13 plays, 67 yds in 2:11",10,28
THIRD QUARTER,,SFA,KSU
,TD,8:55,"Kody Cook 22 Yd pass from Jake Waters (Jack Cantele Kick)Drive info: 6 plays, 59 yds in 2:39",10,35
,TD,7:41,"Charles Jones 4 Yd Run (Jack Cantele Kick)Drive info: 3 plays, 22 yds in 1:01",10,42
,TD,4:03,"Gus Johnson 30 Yd Run (Jordan Wiggs PAT failed)Drive info: 5 plays, 53 yds in 1:47",16,42
FOURTH QUARTER,,SFA,KSU
,FG,14:50,"Jack Cantele 43 Yd Field Goal  Drive info: 10 plays, 27 yds in 4:13",16,45
,TD,8:38,"Steven West 15 Yd pass from Joe Hubener (Matthew McCrane Kick)Drive info: 10 plays, 55 yds in 4:35",16,52
,FG,2:34,"Jack Cantele 38 Yd Field Goal Drive info: 5 plays, 20 yds in 3:04",16,55
,,SFA,KSU
1st Downs,14,29
3rd down efficiency,5-14,8-14
4th down efficiency,0-1,2-2
Total Yards,294,478
Passing,225,238
Comp-Att,24-39,20-30
Yards per pass,5.8,7.9
Rushing,69,240
Rushing Attempts,21,51
Yards per rush,3.3,4.7
Penalties,10-69,3-15
Turnovers,1,1
Fumbles lost,1,0
Interceptions thrown,0,1
Possession,22:15,37:45
Stephen F Austin Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Zach Conque,17/30,118,3.9,0,0,--
Joe Minden,7/9,107,11.9,0,0,--
Team,24/39,225,5.8,0,0,--
Kansas State Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Jake Waters,19/28,223,8.0,2,1,91.1
Joe Hubener,1/2,15,7.5,1,0,82.1
Team,20/30,238,7.9,3,1,--
Stephen F Austin Rushing
,CAR,YDS,AVG,TD,LG
Gus Johnson,8,26,3.3,1,30
Joe Minden,3,25,8.3,1,18
Zach Conque,8,16,2.0,0,32
Joshawa West,2,2,1.0,0,1
Team,21,69,3.3,2,32
Kansas State Rushing
,CAR,YDS,AVG,TD,LG
Jake Waters,17,55,3.2,2,15
Charles Jones,8,55,6.9,2,15
DeMarcus Robinson,11,49,4.5,0,9
Joe Hubener,6,32,5.3,0,11
Jarvis Leverett Jr.,6,25,4.2,0,9
Judah Jones,2,24,12.0,0,19
Jesse Ertz,1,0,0.0,0,0
Team,51,240,4.7,4,19
Stephen F Austin Receiving
,REC,YDS,AVG,TD,LG
Aaron Thomas,6,85,14.2,0,37
Robert Sylvester,2,41,20.5,0,30
Tyler Boyd,3,31,10.3,0,12
DJ Ward,2,18,9.0,0,13
Marquis Mosley,5,17,3.4,0,8
Joshawa West,2,16,8.0,0,10
Justice Liggins,2,12,6.0,0,9
Gus Johnson,1,4,4.0,0,4
Aaron Piper,1,1,1.0,0,1
Team,24,225,9.4,0,37
Kansas State Receiving
,REC,YDS,AVG,TD,LG
DeMarcus Robinson,4,47,11.8,0,16
Kody Cook,3,44,14.7,1,22
Deante Burton,3,40,13.3,0,25
Zach Trujillo,3,29,9.7,0,16
Glenn Gronkowski,1,19,19.0,0,19
Curry Sexton,3,18,6.0,0,10
Charles Jones,1,17,17.0,0,17
Steven West,1,15,15.0,1,15
Tyler Lockett,1,9,9.0,1,9
Team,20,238,11.9,3,25
Stephen F Austin Interceptions
,INT,YDS,TD
Collin Garrett,1,1,0
Team,1,1,0
Kansas State Interceptions
,INT,YDS,TD
No Interception Information
Stephen F Austin Kick Returns
,NO,YDS,AVG,LG,TD
Aaron Piper,5,81,16.2,18,0
Braxton Bearden,1,18,18.0,18,0
Joshawa West,1,6,6.0,6,0
Team,7,105,15.0,18,0
Kansas State Kick Returns
,NO,YDS,AVG,LG,TD
Morgan Burns,3,105,35.0,47,0
Team,3,105,35.0,47,0
Stephen F Austin Punt Returns
,NO,YDS,AVG,LG,TD
No Punt Returns
Kansas State Punt Returns
,NO,YDS,AVG,LG,TD
Judah Jones,1,26,26.0,26,0
Team,1,26,26.0,26,0
Stephen F Austin Kicking
,FG,PCT,LG,XP,PTS
Jordan Wiggs,1/1,100.0,33,1/1,4
Gus Johnson,0/0,0.0,0,0/1,0
Team,1/1,100.0,33,1/2,4
Kansas State Kicking
,FG,PCT,LG,XP,PTS
Jack Cantele,2/3,66.7,43,6/6,12
Matthew McCrane,0/0,0.0,0,1/1,1
Team,2/3,66.7,43,7/7,13
Stephen F Austin Punting
,NO,YDS,AVG,TB,-20,LG
Nick Bruno,7,262,37.4,0,0,42
Team,7,262,37.4,0,0,42
Kansas State Punting
,NO,YDS,AVG,TB,-20,LG
Mitch Lochbihler,1,36,36.0,0,0,36
Team,1,36,36.0,0,0,36
