FIRST QUARTER,,TOL,KENT
,FG,9:54,"Jeremiah Detmer 26 Yd Field Goal  Drive info: 11 plays, 66 yds in 5:06",3,0
,FG,4:46,"Jeremiah Detmer 28 Yd Field Goal  Drive info: 8 plays, 69 yds in 2:45",6,0
SECOND QUARTER,,TOL,KENT
,FG,12:42,"Jeremiah Detmer 45 Yd Field Goal  Drive info: 9 plays, 54 yds in 2:07",9,0
,TD,2:54,"Justin Olack 16 Yd pass from Logan Woodside (Jeremiah Detmer Kick)Drive info: 12 plays, 82 yds in 6:54",16,0
THIRD QUARTER,,TOL,KENT
,TD,11:20,"Alonzo Russell 8 Yd pass from Logan Woodside (Jeremiah Detmer Kick)Drive info: 5 plays, 52 yds in 1:40",23,0
,TD,8:25,"Nick Holley 50 Yd Run (Anthony Melchiori Kick)Drive info: 7 plays, 72 yds in 2:55",23,7
,TD,3:53,"Kishon Wilcher 2 Yd pass from Logan Woodside (Jeremiah Detmer Kick)Drive info: 8 plays, 75 yds in 4:32",30,7
,TD,1:58,"Ernest Calhoun 4 Yd pass from Nathan Strock (Anthony Melchiori Kick)Drive info: 5 plays, 76 yds in 1:55",30,14
FOURTH QUARTER,,TOL,KENT
,TD,13:15,"Casey Pierce 3 Yd pass from Nathan Strock (Two-Point Pass Conversion Failed)Drive info: 5 plays, 25 yds in 1:49",30,20
,,TOL,KENT
1st Downs,24,17
3rd down efficiency,8-16,3-12
4th down efficiency,0-1,2-2
Total Yards,422,334
Passing,201,163
Comp-Att,18-32,19-41
Yards per pass,6.3,4.0
Rushing,221,171
Rushing Attempts,47,19
Yards per rush,4.7,9.0
Penalties,7-73,7-74
Turnovers,1,3
Fumbles lost,1,1
Interceptions thrown,0,2
Possession,37:15,22:45
Toledo Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Logan Woodside,16/25,202,8.1,3,0,89.2
Michael Julian,2/7,-1,-0.1,0,0,1.8
Team,18/32,201,6.3,3,0,--
Kent State Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Colin Reardon,10/23,96,4.2,0,1,19.6
Nathan Strock,9/18,67,3.7,2,1,26.6
Team,19/41,163,4.0,2,2,--
Toledo Rushing
,CAR,YDS,AVG,TD,LG
Kareem Hunt,18,141,7.8,0,43
Terry Swanson,17,75,4.4,0,16
Damion Jones-Moore,4,20,5.0,0,10
Logan Woodside,2,7,3.5,0,4
Marc Remy,1,3,3.0,0,3
Michael Julian,3,1,0.3,0,1
Nick Ellis,1,-24,-24.0,0,0
Team,47,221,4.7,0,43
Kent State Rushing
,CAR,YDS,AVG,TD,LG
Nick Holley,12,95,7.9,1,50
Nathan Strock,5,71,14.2,0,65
Miles Hibbler,1,5,5.0,0,5
Colin Reardon,1,0,0.0,0,0
Team,19,171,9.0,1,65
Toledo Receiving
,REC,YDS,AVG,TD,LG
Kishon Wilcher,3,48,16.0,1,28
Justin Olack,2,44,22.0,1,28
Corey Jones,3,40,13.3,0,32
Alonzo Russell,3,21,7.0,1,8
Terry Swanson,2,20,10.0,0,27
Kareem Hunt,2,13,6.5,0,7
Dwight Macon,2,9,4.5,0,7
Damion Jones-Moore,1,6,6.0,0,6
Team,18,201,11.2,3,32
Kent State Receiving
,REC,YDS,AVG,TD,LG
Casey Pierce,8,57,7.1,1,15
Ernest Calhoun,3,49,16.3,1,32
Kris White,4,37,9.3,0,14
Chris Humphrey,2,19,9.5,0,10
James Brooks,1,6,6.0,0,6
Nick Holley,1,-5,-5.0,0,0
Team,19,163,8.6,2,32
Toledo Interceptions
,INT,YDS,TD
Jordan Haden,1,13,0
Trent Voss,1,4,0
Team,2,17,0
Kent State Interceptions
,INT,YDS,TD
No Interception Information
Toledo Kick Returns
,NO,YDS,AVG,LG,TD
Kishon Wilcher,1,16,16.0,16,0
Team,1,16,16.0,16,0
Kent State Kick Returns
,NO,YDS,AVG,LG,TD
Ernest Calhoun,5,81,16.2,27,0
Team,5,81,16.2,27,0
Toledo Punt Returns
,NO,YDS,AVG,LG,TD
Corey Jones,1,-3,-3.0,-3,0
Team,1,-3,-3.0,0,0
Kent State Punt Returns
,NO,YDS,AVG,LG,TD
No Punt Returns
Toledo Kicking
,FG,PCT,LG,XP,PTS
Jeremiah Detmer,3/3,100.0,45,3/3,12
Team,3/3,100.0,45,3/3,12
Kent State Kicking
,FG,PCT,LG,XP,PTS
Anthony Melchiori,0/0,0.0,0,2/2,2
Team,0/0,0.0,0,2/2,2
Toledo Punting
,NO,YDS,AVG,TB,-20,LG
Nick Ellis,3,146,48.7,0,1,51
Team,3,146,48.7,0,1,51
Kent State Punting
,NO,YDS,AVG,TB,-20,LG
Anthony Melchiori,6,241,40.2,1,4,63
Team,6,241,40.2,1,4,63
