FIRST QUARTER,,ULM,APP
,FG,9:58,"Justin Manton 31 Yd Field Goal  Drive info: 12 plays, 63 yds in 4:57",3,0
,TD,4:21,"Simms McElfresh 4 Yd Run (Bentlee Critcher Kick)Drive info: 12 plays, 80 yds in 5:29",3,7
,FG,0:43,"Justin Manton 38 Yd Field Goal  Drive info: 11 plays, 54 yds in 3:38",6,7
SECOND QUARTER,,ULM,APP
,TD,11:32,"Kenzee Jackson 12 Yd pass from Pete Thomas (Justin Manton Kick)Drive info: 1 plays, 12 yds in 0:08",13,7
,TD,8:02,"Pete Thomas 1 Yd Run (Justin Manton Kick)Drive info: 4 plays, 33 yds in 1:05",20,7
,TD,2:24,"Tacoi Sumler 8 Yd pass from Taylor Lamb (Bentlee Critcher Kick)Drive info: 12 plays, 75 yds in 5:38",20,14
,TD,0:06,"Barrett Burns 1 Yd pass from Taylor Lamb (Bentlee Critcher Kick)Drive info: 5 plays, 63 yds in 0:39",20,21
THIRD QUARTER,,ULM,APP
,FG,8:44,"Justin Manton 35 Yd Field Goal  Drive info: 11 plays, 56 yds in 4:23",23,21
FOURTH QUARTER,,ULM,APP
,TD,6:10,"Marcus Cox 7 Yd Run (Bentlee Critcher Kick)Drive info: 12 plays, 89 yds in 5:00",23,28
,TD,1:42,"Ajalen Holley 3 Yd pass from Pete Thomas (Two-Point Pass Conversion Failed)Drive info: 14 plays, 72 yds in 4:22",29,28
,FG,0:29,"Bentlee Critcher 39 Yd Field Goal  Drive info: 7 plays, 53 yds in 1:13",29,31
,,ULM,APP
1st Downs,20,23
3rd down efficiency,5-15,6-15
4th down efficiency,2-2,2-2
Total Yards,299,380
Passing,244,276
Comp-Att,20-41,25-35
Yards per pass,6.0,7.9
Rushing,55,104
Rushing Attempts,30,36
Yards per rush,1.8,2.9
Penalties,8-78,7-50
Turnovers,0,1
Fumbles lost,0,0
Interceptions thrown,0,1
Possession,27:46,32:14
Louisiana Monroe Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Pete Thomas,20/41,244,6.0,2,0,48.4
Team,20/41,244,6.0,2,0,--
Appalachian State Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Taylor Lamb,25/35,276,7.9,2,1,79.9
Team,25/35,276,7.9,2,1,--
Louisiana Monroe Rushing
,CAR,YDS,AVG,TD,LG
Centarius Donald,16,71,4.4,0,11
Tyler Cain,3,8,2.7,0,7
Pete Thomas,11,-24,-2.2,1,4
Team,30,55,1.8,1,11
Appalachian State Rushing
,CAR,YDS,AVG,TD,LG
Marcus Cox,21,94,4.5,1,20
Taylor Lamb,3,11,3.7,0,6
Terrence Upshaw,7,10,1.4,0,4
Simms McElfresh,2,1,0.5,1,4
Bobo Beathard,1,-2,-2.0,0,0
Ricky Fergerson,1,-2,-2.0,0,0
Team,36,104,2.9,2,20
Louisiana Monroe Receiving
,REC,YDS,AVG,TD,LG
Rashon Ceaser,6,87,14.5,0,20
Kenzee Jackson,3,61,20.3,1,39
Ajalen Holley,4,51,12.8,1,32
Centarius Donald,3,23,7.7,0,13
Tyrone Carter,1,12,12.0,0,12
"u""De'Vonte Haggerty""",1,9,9.0,0,9
Tyler Cain,2,1,0.5,0,2
Team,20,244,12.2,2,39
Appalachian State Receiving
,REC,YDS,AVG,TD,LG
Malachi Jones,7,82,11.7,0,27
Montez McGuire,3,59,19.7,0,25
Marcus Cox,5,56,11.2,0,27
Shaedon Meadors,3,39,13.0,0,31
Simms McElfresh,2,19,9.5,0,12
Bobo Beathard,2,10,5.0,0,6
Tacoi Sumler,1,8,8.0,1,8
Terrence Upshaw,1,2,2.0,0,2
Barrett Burns,1,1,1.0,1,1
Team,25,276,11.0,2,31
Louisiana Monroe Interceptions
,INT,YDS,TD
Lenzy Pipkins,1,17,0
Team,1,17,0
Appalachian State Interceptions
,INT,YDS,TD
No Interception Information
Louisiana Monroe Kick Returns
,NO,YDS,AVG,LG,TD
Tyler Cain,2,52,26.0,28,0
"u""De'Vonte Haggerty""",1,12,12.0,12,0
Team,3,64,21.3,28,0
Appalachian State Kick Returns
,NO,YDS,AVG,LG,TD
Bobo Beathard,1,20,20.0,20,0
Team,1,20,20.0,20,0
Louisiana Monroe Punt Returns
,NO,YDS,AVG,LG,TD
Rashon Ceaser,3,44,14.7,29,0
Team,3,44,14.7,29,0
Appalachian State Punt Returns
,NO,YDS,AVG,LG,TD
Bobo Beathard,1,-15,-15.0,0,0
Team,1,-15,-15.0,0,0
Louisiana Monroe Kicking
,FG,PCT,LG,XP,PTS
Justin Manton,3/3,100.0,38,2/2,11
Team,3/3,100.0,38,2/2,11
Appalachian State Kicking
,FG,PCT,LG,XP,PTS
Bentlee Critcher,1/1,100.0,39,4/4,7
Team,1/1,100.0,39,4/4,7
Louisiana Monroe Punting
,NO,YDS,AVG,TB,-20,LG
Justin Manton,5,212,42.4,0,3,60
Team,5,212,42.4,0,3,60
Appalachian State Punting
,NO,YDS,AVG,TB,-20,LG
Bentlee Critcher,5,212,42.4,0,1,47
Taylor Lamb,1,22,22.0,0,0,22
Team,6,234,39.0,0,1,47
