0574051320140830,,574,513
Rice Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:07,1,01:39,RICE 26,3,2,PUNT
10:40,1,01:34,RICE 20,3,6,PUNT
06:02,1,03:49,RICE 35,8,65,Touchdown
02:01,1,01:39,RICE 25,3,5,PUNT
13:27,2,02:05,RICE 22,3,3,PUNT
09:20,2,03:29,RICE 20,9,64,Field Goal
00:05,2,00:05,RICE 25,1,-2,End of Half
15:00,3,05:03,RICE 25,11,47,MISSED FG
04:07,3,01:27,RICE 25,4,9,Downs
00:17,3,02:29,RICE 25,7,27,PUNT
07:47,4,02:50,RICE 25,6,75,Touchdown
03:32,4,01:30,RICE 32,3,12,Fumble
Notre Dame Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:53,ND 37,3,-1,PUNT
11:28,1,00:48,ND 44,3,6,PUNT
09:06,1,03:04,RICE 47,7,47,Touchdown
02:13,1,00:12,ND 25,1,75,Touchdown
00:22,1,01:55,ND 13,7,65,Missed FG
11:22,2,02:02,RICE 49,3,-6,PUNT
05:51,2,03:18,ND 14,7,86,Touchdown
00:21,2,00:16,ND 47,2,53,Touchdown
09:57,3,05:50,ND 29,13,53,Field Goal
02:40,3,02:23,RICE 34,6,34,Touchdown
12:48,4,05:01,ND 17,9,72,Field Goal
04:57,4,01:25,ND 25,3,75,Touchdown
02:02,4,02:02,RICE 44,3,7,END OF HALF
