Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal,First Down Total,Date
164,0077016420140829,31,71,1,48,25,284,0,1,0,6,114,0,1,-1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,4,143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33:32,8,90,17,8,4,1,0,0,0,23,20140829
147,0147025720140830,43,88,2,33,18,203,1,1,0,6,108,0,2,-6,0,1,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,21,10,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29:34,3,40,21,7,2,2,0,0,0,15,20140830
257,0147025720140830,41,328,5,26,18,131,0,0,0,2,110,1,8,61,0,0,0,0,1,0,0,0,0,0,1,1,6,6,0,0,0,0,0,45,6,264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29:48,8,65,13,5,1,1,0,0,0,22,20140830
90,0090047220140828,49,259,1,7,2,6,0,1,0,4,72,0,1,12,0,0,0,0,1,-4,0,0,0,0,1,1,1,1,0,0,0,0,0,10,7,253,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25:52,4,21,12,4,0,0,0,0,0,14,20140828
472,0090047220140828,47,197,2,27,18,158,2,1,0,2,27,0,4,16,0,1,0,0,1,10,0,0,0,0,0,0,4,4,0,0,0,0,0,28,5,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34:08,2,20,16,9,1,0,0,0,0,21,20140828
96,0096065720140830,33,157,2,36,18,160,0,4,0,4,72,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,13,6,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:45,5,47,13,2,3,2,0,0,0,17,20140830
657,0096065720140830,64,277,3,41,28,424,4,0,0,3,43,0,1,10,0,0,0,0,4,60,0,0,0,0,2,1,7,7,0,0,0,0,0,52,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38:44,9,76,18,11,5,3,0,0,0,37,20140830
107,0107050920140830,45,114,1,39,23,300,3,2,0,4,58,0,2,17,0,0,0,0,2,0,0,0,0,0,1,1,4,4,0,0,0,0,0,31,4,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31:34,6,59,17,8,3,2,0,0,0,23,20140830
509,0107050920140830,36,108,1,45,24,246,2,2,0,3,60,0,0,0,0,0,0,0,2,7,0,0,0,0,1,1,3,3,0,0,0,0,0,24,5,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28:26,1,0,20,8,4,2,0,0,0,22,20140830
153,0153004720140830,1,-18,0,26,14,137,0,0,0,2,49,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,8,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23:39,4,58,13,2,2,1,0,0,0,9,20140830
47,0153004720140830,53,311,1,32,20,203,2,1,0,2,49,0,3,14,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,30,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36:21,5,40,16,8,0,0,0,0,0,29,20140830
108,0108067420140830,27,61,0,22,12,54,0,2,0,5,85,0,0,0,0,2,0,0,1,20,0,0,0,0,2,1,6,6,0,0,0,0,0,0,11,454,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28:18,5,42,13,1,0,0,0,0,0,6,20140830
674,0108067420140830,32,149,1,30,21,312,4,1,0,1,22,0,5,134,1,1,0,0,2,0,0,0,0,0,2,1,6,6,0,0,0,0,0,45,4,147,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31:36,4,40,9,3,1,0,0,0,0,21,20140830
110,0110074620140830,39,116,1,34,20,242,0,0,0,4,49,0,4,55,0,1,0,0,2,57,2,0,0,0,1,0,4,4,0,0,0,0,0,28,7,277,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25:30,12,87,18,7,2,0,0,0,0,16,20140830
746,0110074620140830,39,120,0,45,29,266,2,2,0,1,12,0,3,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,20,7,322,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34:30,4,20,23,9,3,2,0,0,0,17,20140830
130,0130070020140830,1,-2,0,40,24,228,1,0,0,5,83,0,0,0,0,0,0,0,2,38,0,0,0,0,2,2,3,3,0,0,0,0,0,35,5,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33:36,5,34,19,5,6,6,0,0,0,28,20140830
700,0130070020140830,36,184,2,53,39,452,4,2,0,4,102,0,3,13,0,0,0,0,0,0,0,0,0,0,1,0,6,6,0,0,0,0,0,42,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26:24,15,114,11,6,2,2,0,0,0,35,20140830
156,0156015720140829,45,266,3,23,13,134,1,0,0,3,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,31,4,218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30:12,6,63,11,5,1,1,0,0,0,27,20140829
157,0156015720140829,34,134,0,39,24,241,2,0,0,2,42,0,4,35,0,1,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,17,6,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29:17,6,65,15,5,2,1,0,0,0,22,20140829
180,0180054520140830,30,26,0,16,9,31,0,3,0,4,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,8,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25:56,7,40,11,1,1,0,0,0,0,5,20140830
545,0180054520140830,56,409,7,14,11,92,2,0,0,1,14,0,8,80,0,0,0,0,3,30,0,0,0,0,0,0,9,8,0,0,0,0,0,62,2,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34:04,5,45,9,7,0,0,0,0,0,28,20140830
